customer_id,segment,recency_days,frequency,monetary_value,support_ticket_count,return_rate,category_diversity,discount_usage_rate,engagement_score,churn_label,tenure_days,plan_type
C01562,At-Risk,613,4,291.63,1,0.0,3.0,0.25,95.0,1,817,Basic
C03745,At-Risk,131,1,68.65,1,0.0,1.0,0.0,95.0,0,161,Premium
C01346,At-Risk,530,4,336.04,1,0.0,3.0,0.25,80.0,0,590,Basic
C03407,At-Risk,253,1,71.93,1,0.0,1.0,0.0,80.0,1,258,Basic
C02082,At-Risk,268,1,89.58,0,0.0,1.0,0.0,100.0,1,292,Basic
C02645,At-Risk,48,2,117.17,0,0.0,2.0,0.5,100.0,0,169,Premium
C04029,At-Risk,611,8,618.78,1,0.0,4.0,0.5,80.0,0,830,Basic
C02642,At-Risk,607,4,487.77,0,0.0,4.0,0.25,100.0,0,792,Basic
C00805,At-Risk,400,2,197.61,0,0.0,2.0,0.0,100.0,0,492,Premium
C04579,At-Risk,550,2,129.01999999999998,0,0.0,2.0,0.0,100.0,0,746,Premium
C00807,At-Risk,187,1,80.91,1,0.0,1.0,0.0,95.0,1,366,Trial
C02639,At-Risk,574,4,430.36,0,0.0,3.0,0.25,100.0,1,638,Basic
C01650,At-Risk,508,3,451.49,2,0.0,2.0,0.0,80.0,1,783,Trial
C04576,At-Risk,416,1,177.02,1,0.0,1.0,0.0,95.0,1,659,Premium
C04575,At-Risk,635,5,479.16,1,0.0,3.0,0.2,80.0,0,718,Trial
C04586,At-Risk,413,1,102.26,0,0.0,1.0,0.0,100.0,0,482,Basic
C04573,At-Risk,285,1,140.08,1,0.0,1.0,0.0,80.0,1,285,Basic
C00821,At-Risk,323,2,238.51,0,0.0,1.0,0.0,100.0,0,426,Basic
C01648,At-Risk,303,1,144.41,1,0.0,1.0,0.0,80.0,1,306,Basic
C00823,At-Risk,603,4,503.2,0,0.0,3.0,0.0,100.0,0,703,Basic
C02085,At-Risk,453,2,171.08,1,0.0,1.0,0.5,95.0,1,591,Trial
C00825,At-Risk,562,5,339.57,1,0.0,4.0,0.4,95.0,0,676,Basic
C00826,At-Risk,145,2,188.64,0,0.0,2.0,0.5,100.0,1,211,Basic
C01645,At-Risk,529,2,126.22,0,0.0,2.0,0.0,100.0,0,692,Trial
C00830,At-Risk,621,1,40.89,0,0.0,1.0,0.0,100.0,0,661,Premium
C03743,At-Risk,653,4,295.81,0,0.0,3.0,0.5,100.0,0,706,Premium
C00834,At-Risk,591,4,515.24,0,0.0,2.0,0.25,100.0,0,702,Basic
C03684,At-Risk,518,4,525.4000000000001,0,0.0,2.0,0.25,100.0,0,618,Basic
C00836,At-Risk,264,1,143.37,0,0.0,1.0,0.0,100.0,0,284,Premium
C01342,At-Risk,0,1,65.81,1,0.0,1.0,0.0,80.0,1,133,Basic
C00839,At-Risk,126,1,115.5,0,0.0,1.0,0.0,100.0,1,270,Basic
C00819,At-Risk,171,1,82.83,2,0.0,1.0,0.0,90.0,1,552,Trial
C03683,At-Risk,680,4,281.15,1,0.5,2.0,0.25,95.0,0,938,Premium
C01658,At-Risk,21,2,162.68,0,0.0,1.0,0.0,100.0,1,188,Basic
C00791,At-Risk,588,1,155.2,0,0.0,1.0,0.0,100.0,0,623,Basic
C00754,At-Risk,292,1,154.07,2,0.0,1.0,0.0,90.0,1,434,Basic
C04013,At-Risk,482,3,522.46,0,0.0,3.0,0.0,100.0,0,589,Basic
C00757,At-Risk,470,3,131.97,0,0.0,1.0,0.3333333333333333,100.0,0,518,Basic
C03681,At-Risk,498,2,76.78,1,0.0,2.0,0.0,95.0,1,647,Basic
C03750,At-Risk,492,2,130.5,0,0.0,2.0,0.0,100.0,0,550,Basic
C00760,At-Risk,438,2,234.73000000000002,1,0.0,2.0,0.0,95.0,1,734,Basic
C04602,At-Risk,673,3,368.18,2,0.0,2.0,0.3333333333333333,80.0,1,856,Premium
C04600,At-Risk,542,2,92.3,1,0.0,1.0,0.0,95.0,0,723,Basic
C00764,At-Risk,298,2,144.95,2,0.0,2.0,0.5,80.0,1,357,Trial
C03391,At-Risk,159,2,288.27,0,0.0,2.0,0.0,100.0,1,517,Trial
C04018,At-Risk,0,2,170.83999999999997,0,0.0,1.0,0.5,100.0,1,446,Basic
C03396,At-Risk,500,5,363.91,2,0.0,4.0,0.4,80.0,0,563,Premium
C00769,At-Risk,616,1,29.32,0,0.0,1.0,0.0,100.0,1,631,Basic
C02667,At-Risk,102,1,172.68,1,0.0,1.0,0.0,95.0,0,172,Basic
C04597,At-Risk,452,1,60.07,2,0.0,1.0,0.0,80.0,1,469,Basic
C00772,At-Risk,549,7,682.97,1,0.0,3.0,0.2857142857142857,80.0,0,773,Premium
C03748,At-Risk,283,2,125.55,2,0.0,2.0,0.5,90.0,1,352,Basic
C04024,At-Risk,448,5,374.18,0,0.0,4.0,0.4,100.0,0,617,Basic
C03404,At-Risk,596,1,112.41,0,0.0,1.0,0.0,100.0,0,596,Basic
C01660,At-Risk,457,3,310.15,2,0.0,2.0,0.3333333333333333,90.0,0,566,Premium
C01661,At-Risk,678,5,413.81,0,0.0,4.0,0.4,100.0,0,1134,Premium
C01662,At-Risk,297,2,279.32,0,0.0,2.0,0.0,100.0,0,360,Basic
C01348,At-Risk,506,3,333.83,0,0.0,2.0,0.0,100.0,0,561,Basic
C00843,At-Risk,96,1,46.92,1,0.0,1.0,0.0,80.0,0,214,Basic
C04020,At-Risk,337,1,169.12,2,0.0,1.0,0.0,90.0,1,428,Trial
C04591,At-Risk,480,2,189.69,2,0.0,2.0,0.0,90.0,0,583,Basic
C02663,At-Risk,462,2,234.59,0,0.0,2.0,0.5,100.0,0,648,Premium
C04594,At-Risk,227,2,174.55,0,0.0,1.0,0.5,100.0,0,499,Premium
C00776,At-Risk,369,2,230.16000000000003,1,0.0,2.0,0.0,95.0,0,430,Basic
C01665,At-Risk,564,7,710.39,1,0.0,4.0,0.42857142857142855,80.0,0,972,Trial
C04019,At-Risk,580,1,115.33,2,0.0,1.0,0.0,80.0,1,598,Basic
C04590,At-Risk,503,5,494.39,1,0.0,4.0,0.2,80.0,0,621,Premium
C02198,At-Risk,649,4,439.05,0,0.0,3.0,0.5,100.0,0,735,Basic
C00845,At-Risk,598,2,141.7,0,0.0,2.0,0.0,100.0,0,698,Basic
C01637,At-Risk,0,1,157.28,1,0.0,1.0,0.0,80.0,1,184,Basic
C01621,At-Risk,524,1,102.38,0,0.0,1.0,0.0,100.0,0,608,Basic
C02103,At-Risk,610,2,93.05,0,0.0,2.0,0.5,100.0,0,679,Basic
C00895,At-Risk,506,2,234.48000000000002,2,0.0,2.0,0.0,90.0,1,594,Basic
C04522,At-Risk,520,5,337.98,0,0.0,3.0,0.2,100.0,0,624,Basic
C03736,At-Risk,522,1,49.06,1,0.0,1.0,0.0,95.0,1,558,Basic
C03443,At-Risk,460,5,518.87,0,0.0,4.0,0.4,100.0,0,615,Basic
C01618,At-Risk,0,1,331.94,0,0.0,1.0,0.0,100.0,1,245,Trial
C02584,At-Risk,381,2,233.95,0,0.0,1.0,0.5,100.0,0,497,Premium
C00901,At-Risk,145,1,158.22,0,0.0,1.0,0.0,100.0,1,147,Trial
C04517,At-Risk,149,1,68.93,2,0.0,1.0,0.0,90.0,1,327,Basic
C04515,At-Risk,451,3,250.99,0,0.0,2.0,0.3333333333333333,100.0,0,493,Premium
C00904,At-Risk,204,2,131.65,2,0.0,2.0,0.0,80.0,0,263,Basic
C01478,At-Risk,154,2,237.14,0,0.0,1.0,0.5,100.0,1,382,Premium
C04126,At-Risk,242,2,301.48,1,0.0,2.0,0.0,95.0,1,252,Trial
C00907,At-Risk,217,1,288.87,0,0.0,1.0,0.0,100.0,1,498,Trial
C04508,At-Risk,251,1,135.74,2,0.0,1.0,0.0,90.0,1,265,Trial
C03449,At-Risk,538,5,498.11,0,0.0,2.0,0.0,100.0,0,667,Basic
C00924,At-Risk,617,6,622.54,2,0.0,5.0,0.16666666666666666,80.0,0,740,Basic
C04057,At-Risk,511,1,103.51,1,0.0,1.0,0.0,95.0,1,557,Trial
C04499,At-Risk,401,2,128.8,2,0.0,2.0,0.0,80.0,1,480,Premium
C00921,At-Risk,309,1,148.0,1,0.0,1.0,0.0,95.0,1,340,Basic
C01611,At-Risk,70,1,0.0,1,1.0,0.0,0.0,95.0,1,358,Basic
C02298,At-Risk,37,2,253.01999999999998,0,0.0,2.0,0.0,100.0,1,382,Basic
C00892,At-Risk,213,1,61.58,1,0.0,1.0,0.0,95.0,1,292,Basic
C04222,At-Risk,473,2,145.7,2,0.0,2.0,0.5,90.0,1,607,Trial
C00916,At-Risk,538,4,510.3,0,0.0,3.0,0.5,100.0,0,616,Premium
C03450,At-Risk,670,4,299.14,0,0.0,2.0,0.5,100.0,0,863,Basic
C02577,At-Risk,177,1,63.52,1,0.0,1.0,0.0,95.0,1,423,Trial
C03733,At-Risk,495,12,1255.42,1,0.0,4.0,0.25,80.0,0,606,Basic
C01615,At-Risk,315,2,260.68,0,0.0,2.0,0.0,100.0,0,531,Basic
C00911,At-Risk,324,2,110.88,0,0.0,2.0,0.0,100.0,0,452,Premium
C00917,At-Risk,203,2,198.13,1,0.0,2.0,0.5,80.0,1,308,Basic
C00753,At-Risk,601,5,541.49,1,0.0,3.0,0.0,80.0,0,761,Premium
C00891,At-Risk,207,2,141.28,2,0.5,1.0,0.0,90.0,1,319,Basic
C02591,At-Risk,476,4,291.37,1,0.0,3.0,0.25,95.0,0,524,Basic
C00847,At-Risk,515,3,280.01,0,0.0,2.0,0.0,100.0,0,723,Premium
C02092,At-Risk,312,2,172.36,0,0.0,2.0,0.5,100.0,0,334,Premium
C02619,At-Risk,269,2,179.9,1,0.0,2.0,0.5,95.0,0,370,Trial
C00853,At-Risk,598,3,345.98,2,0.0,3.0,0.3333333333333333,80.0,1,727,Basic
C02616,At-Risk,128,1,70.71,2,0.0,1.0,0.0,90.0,1,212,Basic
C02292,At-Risk,414,2,215.89,0,0.0,2.0,0.5,100.0,0,424,Basic
C01338,At-Risk,313,2,173.28,2,0.0,1.0,0.5,80.0,1,391,Basic
C00861,At-Risk,427,2,304.55,0,0.0,2.0,0.0,100.0,0,760,Basic
C04548,At-Risk,575,5,435.9,1,0.0,3.0,0.2,80.0,0,799,Basic
C02609,At-Risk,661,3,270.95,0,0.0,3.0,0.3333333333333333,100.0,0,895,Premium
C02608,At-Risk,518,5,344.58,2,0.2,4.0,0.0,80.0,0,659,Basic
C01629,At-Risk,510,1,0.0,1,1.0,0.0,0.0,80.0,0,533,Basic
C03431,At-Risk,666,4,369.37,1,0.0,2.0,0.25,95.0,0,717,Basic
C02098,At-Risk,506,5,231.9,0,0.4,3.0,0.2,100.0,0,630,Premium
C00868,At-Risk,296,2,121.46000000000001,0,0.0,2.0,0.5,100.0,0,329,Basic
C02604,At-Risk,529,5,354.55,0,0.0,2.0,0.4,100.0,0,675,Basic
C04049,At-Risk,156,2,305.18,0,0.0,2.0,0.5,100.0,0,181,Premium
C04527,At-Risk,294,1,210.98,0,0.0,1.0,0.0,100.0,1,345,Basic
C01334,At-Risk,159,1,106.93,1,0.0,1.0,0.0,95.0,1,236,Basic
